nuance_candidat,bord_politique
ALLI,Centre-droite
CEN,Centre
COM,Extrême-gauche
DIV,Gauche
DLF,Droite
DSV,Extrême-droite
DVC,Centre-droite
DVD,Droite
DVG,Gauche
DXG,Extrême-gauche
ECO,Gauche
ENS,Centre
EXD,Extrême-droite
EXG,Extrême-gauche
FG,Extrême-gauche
FI,Gauche
FN,Extrême-droite
FRN,Extrême-droite
GEC,Gauche
HOR,Centre-droite
LR,Droite
MAJ,Centre
MDM,Centre
NCE,Centre-droite
NUP,Gauche
PREP,Droite
PRG,Centre-gauche
PRS,Gauche
PRV,Centre-droite
RDG,Centre-gauche
REG,Autre
REM,Centre
RN,Extrême-droite
RPF,Droite
RPR,Droite
SOC,Gauche
UDF,Centre
UDFD,Centre
UDI,Centre-droite
UG,Gauche
UMP,Droite
UXD,Extrême-droite
VEC,Gauche
